number_people,timestamp,day_of_week,is_weekend,is_holiday,temperature,is_start_of_semester,is_during_semester,month,hour
37,61211,4,0,0,71.76,0,0,8,17
45,62414,4,0,0,71.76,0,0,8,17
40,63015,4,0,0,71.76,0,0,8,17
44,63616,4,0,0,71.76,0,0,8,17
45,64217,4,0,0,71.76,0,0,8,17
46,64818,4,0,0,72.15,0,0,8,18
43,66008,4,0,0,72.15,0,0,8,18
53,66609,4,0,0,72.15,0,0,8,18
54,67214,4,0,0,72.15,0,0,8,18
43,67815,4,0,0,72.15,0,0,8,18
39,68416,4,0,0,69.97,0,0,8,19
38,69607,4,0,0,69.97,0,0,8,19
45,70208,4,0,0,69.97,0,0,8,19
41,70814,4,0,0,69.97,0,0,8,19
36,71416,4,0,0,69.97,0,0,8,19
42,72017,4,0,0,68.8,0,0,8,20
35,73274,4,0,0,68.8,0,0,8,20
36,73874,4,0,0,68.8,0,0,8,20
48,74475,4,0,0,68.8,0,0,8,20
40,75077,4,0,0,68.8,0,0,8,20
49,75678,4,0,0,68.04,0,0,8,21
37,76806,4,0,0,68.04,0,0,8,21
48,77407,4,0,0,68.04,0,0,8,21
45,78008,4,0,0,68.04,0,0,8,21
45,78609,4,0,0,68.04,0,0,8,21
38,79210,4,0,0,67.55,0,0,8,22
41,80407,4,0,0,67.55,0,0,8,22
41,81008,4,0,0,67.55,0,0,8,22
37,81609,4,0,0,67.55,0,0,8,22
33,82211,4,0,0,67.55,0,0,8,22
22,82811,4,0,0,67,0,0,8,23
2,84006,4,0,0,67,0,0,8,23
1,84607,4,0,0,67,0,0,8,23
0,85208,4,0,0,67,0,0,8,23
0,85809,4,0,0,67,0,0,8,23
0,10,5,1,0,66.76,0,0,8,0
1,1208,5,1,0,66.76,0,0,8,0
0,1809,5,1,0,66.76,0,0,8,0
0,2410,5,1,0,66.76,0,0,8,0
0,3013,5,1,0,66.76,0,0,8,0
0,3616,5,1,0,66.32,0,0,8,1
0,19211,5,1,0,65.07,0,0,8,5
1,19812,5,1,0,65.07,0,0,8,5
0,20413,5,1,0,65.07,0,0,8,5
1,21015,5,1,0,65.07,0,0,8,5
1,21617,5,1,0,65.32,0,0,8,6
0,22813,5,1,0,65.32,0,0,8,6
0,23415,5,1,0,65.32,0,0,8,6
0,24015,5,1,0,65.32,0,0,8,6
0,24620,5,1,0,65.32,0,0,8,6
0,25222,5,1,0,66.8,0,0,8,7
0,26411,5,1,0,66.8,0,0,8,7
0,27012,5,1,0,66.8,0,0,8,7
3,27613,5,1,0,66.8,0,0,8,7
2,28215,5,1,0,66.8,0,0,8,7
6,28816,5,1,0,67.8,0,0,8,8
15,30011,5,1,0,67.8,0,0,8,8
22,30613,5,1,0,67.8,0,0,8,8
18,31214,5,1,0,67.8,0,0,8,8
21,31816,5,1,0,67.8,0,0,8,8
26,32418,5,1,0,69.55,0,0,8,9
